State,Constituency Type,Nominations Filed - No. Of Seats,Nominations Filed - M,Nominations Filed - F,Nominations Filed - TG,Nominations Filed - Total,Nominations Rejected - M,Nominations Rejected - F,Nominations Rejected - TG,Nominations Rejected - Total,Nominations Withdrawn - M,Nominations Withdrawn - F,Nominations Withdrawn - TG,Nominations Withdrawn - Total,Contesting Candidates - M,Contesting Candidates - F,Contesting Candidates - TG,Contesting Candidates - Total,Deposit Forfieted - M,Deposit Forfieted - F,Deposit Forfieted - TG,Deposit Forfieted - Total
Chandigarh,GEN,1,25,2,0,27,7,0,0,7,1,0,0,1,17,2,0,19,15,2,0,17
Dadra & Nagar Haveli and Daman & Diu,GEN,1,7,1,0,8,0,1,0,1,0,0,0,0,7,0,0,7,5,0,0,5
Dadra & Nagar Haveli and Daman & Diu,ST,1,8,1,0,9,3,0,0,3,1,0,0,1,4,1,0,5,3,0,0,3
NCT OF Delhi,GEN,6,192,34,1,227,73,15,0,88,3,0,0,3,116,19,1,136,106,17,1,124
NCT OF Delhi,SC,1,31,6,1,38,10,1,0,11,0,1,0,1,21,4,1,26,19,4,1,24
Lakshadweep,ST,1,5,0,0,5,1,0,0,1,0,0,0,0,4,0,0,4,2,0,0,2
Puducherry,GEN,1,28,6,0,34,5,2,0,7,0,1,0,1,23,3,0,26,21,3,0,24
Jammu and Kashmir,GEN,5,136,8,0,144,35,1,0,36,8,0,0,8,93,7,0,100,83,6,0,89
Ladakh,GEN,1,8,0,0,8,3,0,0,3,2,0,0,2,3,0,0,3,0,0,0,0
,Grand Total,542,11137,1298,9,12444,2761,385,3,3149,823,113,0,936,7553,800,6,8359,6555,629,6,7190
